OS,Application,Library
debian,InkScape,libc
debian,InkScape,libicui18n
debian,InkScape,libselinux
debian,InkScape,libuuid
debian,InkScape,libpangoft2-1.0
debian,InkScape,libwpg-0.3
debian,InkScape,libdatrie
debian,InkScape,liblqr-1
debian,InkScape,libglibmm-2.4
debian,InkScape,libgraphite2
debian,InkScape,librt
debian,InkScape,libXfixes
debian,InkScape,libfftw3
debian,InkScape,libsystemd
debian,InkScape,libnssutil3
debian,InkScape,libresolv
debian,InkScape,libxml2
debian,InkScape,libxslt
debian,InkScape,libbsd
debian,InkScape,libxcb-shm
debian,InkScape,libgsl
debian,InkScape,libpixman-1
debian,InkScape,ld-linux-x86-64
debian,InkScape,libcairomm-1.0
debian,InkScape,libwpd-0.10
debian,InkScape,libgiomm-2.4
debian,InkScape,libnspr4
debian,InkScape,libpcre
debian,InkScape,libpangomm-1.4
debian,InkScape,libz
debian,InkScape,libaspell
debian,InkScape,liblzma
debian,InkScape,libpng16
debian,InkScape,libpotrace
debian,InkScape,libMagickWand-6.Q16
debian,InkScape,libdl
debian,InkScape,libpoppler-glib
debian,InkScape,libbz2
debian,InkScape,libMagick++-6.Q16
debian,InkScape,libXi
debian,InkScape,libffi
debian,InkScape,libssl3
debian,InkScape,libXrender
debian,InkScape,libxcb
debian,InkScape,libblkid
debian,InkScape,librevenge-stream-0.0
debian,InkScape,libatk-1.0
debian,InkScape,libxcb-render
debian,InkScape,libXcursor
debian,InkScape,libgdk_pixbuf-2.0
debian,InkScape,libplc4
debian,InkScape,libfontconfig
debian,InkScape,libgcrypt
debian,InkScape,libglib-2.0
debian,InkScape,libXrandr
debian,InkScape,libjpeg
debian,InkScape,libgpg-error
debian,InkScape,libjbig
debian,InkScape,libnss3
debian,InkScape,libmount
debian,InkScape,libpango-1.0
debian,InkScape,libpoppler
debian,InkScape,libXau
debian,InkScape,libexpat
debian,InkScape,libgmodule-2.0
debian,InkScape,libgthread-2.0
debian,InkScape,libm
debian,InkScape,libX11
debian,InkScape,libXext
debian,InkScape,libXinerama
debian,InkScape,libgc
debian,InkScape,librevenge-0.0
debian,InkScape,libsmime3
debian,InkScape,libgdkmm-2.4
debian,InkScape,libstdc++
debian,InkScape,libenchant
debian,InkScape,libopenjp2
debian,InkScape,libplds4
debian,InkScape,libgtk-x11-2.0
debian,InkScape,libpthread
debian,InkScape,liblcms2
debian,InkScape,libgcc_s
debian,InkScape,libinkscape_base
debian,InkScape,libfreetype
debian,InkScape,libharfbuzz
debian,InkScape,libgtkmm-2.4
debian,Libreoffice,libstorelo
debian,Libreoffice,libkrb5
debian,Libreoffice,libGL
debian,Libreoffice,libGLU
debian,Libreoffice,libxshmfence
debian,Libreoffice,libicudata
debian,Libreoffice,libdbus-glib-1
debian,Libreoffice,libicuuc
debian,Libreoffice,libeot
debian,Libreoffice,liblz4
debian,Libreoffice,libclewlo
debian,Libreoffice,libgobject-2.0
debian,Libreoffice,libdbus-1
debian,Libreoffice,libXdmcp
debian,Libreoffice,libgio-2.0
debian,Libreoffice,libSM
debian,Libreoffice,libcairo
debian,Libreoffice,libavahi-common
debian,Libreoffice,libnettle
debian,Libreoffice,libXdamage
debian,Libreoffice,libc
debian,Libreoffice,libGLEW
debian,Libreoffice,libicui18n
debian,Libreoffice,libselinux
debian,Libreoffice,libuuid
debian,Libreoffice,libICE
debian,Libreoffice,libdconf
debian,Libreoffice,libunoidllo
debian,Libreoffice,libgnutls
debian,Libreoffice,libgraphite2
debian,Libreoffice,librt
debian,Libreoffice,libXfixes
debian,Libreoffice,libsystemd
debian,Libreoffice,libnssutil3
debian,Libreoffice,libresolv
debian,Libreoffice,libssh2
debian,Libreoffice,libavahi-client
debian,Libreoffice,libxml2
debian,Libreoffice,libk5crypto
debian,Libreoffice,libxslt
debian,Libreoffice,libbsd
debian,Libreoffice,libxcb-present
debian,Libreoffice,librtmp
debian,Libreoffice,libclucene-shared
debian,Libreoffice,libxcb-shm
debian,Libreoffice,libpixman-1
debian,Libreoffice,ld-linux-x86-64
debian,Libreoffice,libreglo
debian,Libreoffice,libnspr4
debian,Libreoffice,libnghttp2
debian,Libreoffice,libclucene-contribs-lib
debian,Libreoffice,libkeyutils
debian,Libreoffice,libpcre
debian,Libreoffice,libp11-kit
debian,Libreoffice,libglapi
debian,Libreoffice,libcom_err
debian,Libreoffice,libz
debian,Libreoffice,libxcb-glx
debian,Libreoffice,libjvmfwklo
debian,Libreoffice,libxmlreaderlo
debian,Libreoffice,liblzma
debian,Libreoffice,libpng16
debian,Libreoffice,libdl
debian,Libreoffice,libcurl-gnutls
debian,Libreoffice,libsasl2
debian,Libreoffice,libxcb-sync
debian,Libreoffice,libffi
debian,Libreoffice,libmergedlo
debian,Libreoffice,libxcb-dri2
debian,Libreoffice,libssl3
debian,Libreoffice,libldap_r-2.4
debian,Libreoffice,libpsl
debian,Libreoffice,libXrender
debian,Libreoffice,libxcb
debian,Libreoffice,libblkid
debian,Libreoffice,libtasn1
debian,Libreoffice,libX11-xcb
debian,Libreoffice,libidn
debian,Libreoffice,libhogweed
debian,Libreoffice,libgssapi_krb5
debian,Libreoffice,libxcb-render
debian,Libreoffice,libplc4
debian,Libreoffice,libclucene-core
debian,Libreoffice,libuno_salhelpergcc3
debian,Libreoffice,libfontconfig
debian,Libreoffice,liblangtag
debian,Libreoffice,liblber-2.4
debian,Libreoffice,libgcrypt
debian,Libreoffice,libglib-2.0
debian,Libreoffice,libunistring
debian,Libreoffice,libdrm
debian,Libreoffice,libjpeg
debian,Libreoffice,libuno_cppu
debian,Libreoffice,libgpg-error
debian,Libreoffice,libjvmaccesslo
debian,Libreoffice,libnss3
debian,Libreoffice,libmount
debian,Libreoffice,libXau
debian,Libreoffice,libXxf86vm
debian,Libreoffice,libexpat
debian,Libreoffice,libgmodule-2.0
debian,Libreoffice,libcups
debian,Libreoffice,libm
debian,Libreoffice,libX11
debian,Libreoffice,libidn2
debian,Libreoffice,libXext
debian,Libreoffice,libsmime3
debian,Libreoffice,libuno_sal
debian,Libreoffice,libstdc++
debian,Libreoffice,libharfbuzz-icu
debian,Libreoffice,libplds4
debian,Libreoffice,libpthread
debian,Libreoffice,libkrb5support
debian,Libreoffice,liblcms2
debian,Libreoffice,libgcc_s
debian,Libreoffice,libgmp
debian,Libreoffice,libfreetype
debian,Libreoffice,libharfbuzz
debian,Libreoffice,libxcb-dri3
debian,Libreoffice,libuno_cppuhelpergcc3
debian,Keepassxc,libgcrypt
debian,Keepassxc,libgnutls
debian,Keepassxc,libusb-1.0
debian,Keepassxc,libglib-2.0
debian,Keepassxc,libunistring
debian,Keepassxc,libdrm
debian,Keepassxc,libdl
debian,Keepassxc,libgraphite2
debian,Keepassxc,libsodium
debian,Keepassxc,librt
debian,Keepassxc,libXfixes
debian,Keepassxc,libQt5Core
debian,Keepassxc,libsystemd
debian,Keepassxc,libgpg-error
debian,Keepassxc,libcurl-gnutls
debian,Keepassxc,libkrb5
debian,Keepassxc,libresolv
debian,Keepassxc,libssh2
debian,Keepassxc,libsasl2
debian,Keepassxc,libykpers-1
debian,Keepassxc,libGL
debian,Keepassxc,libQt5Gui
debian,Keepassxc,libk5crypto
debian,Keepassxc,libxcb-sync
debian,Keepassxc,libxshmfence
debian,Keepassxc,libudev
debian,Keepassxc,librtmp
debian,Keepassxc,libxcb-present
debian,Keepassxc,libxcb-dri2
debian,Keepassxc,libicudata
debian,Keepassxc,libXau
debian,Keepassxc,libicuuc
debian,Keepassxc,libXxf86vm
debian,Keepassxc,ld-linux-x86-64
debian,Keepassxc,libQt5Widgets
debian,Keepassxc,libexpat
debian,Keepassxc,liblz4
debian,Keepassxc,libyubikey
debian,Keepassxc,libffi
debian,Keepassxc,libldap_r-2.4
debian,Keepassxc,libpsl
debian,Keepassxc,libm
debian,Keepassxc,libargon2
debian,Keepassxc,libxcb
debian,Keepassxc,libnghttp2
debian,Keepassxc,libidn2
debian,Keepassxc,libXext
debian,Keepassxc,libX11
debian,Keepassxc,libtasn1
debian,Keepassxc,libbsd
debian,Keepassxc,libdbus-1
debian,Keepassxc,libX11-xcb
debian,Keepassxc,libkeyutils
debian,Keepassxc,libpcre
debian,Keepassxc,libidn
debian,Keepassxc,libzxcvbn
debian,Keepassxc,libXdmcp
debian,Keepassxc,libhogweed
debian,Keepassxc,libstdc++
debian,Keepassxc,libjson-c
debian,Keepassxc,libQt5DBus
debian,Keepassxc,libgssapi_krb5
debian,Keepassxc,libglapi
debian,Keepassxc,libp11-kit
debian,Keepassxc,libcom_err
debian,Keepassxc,libz
debian,Keepassxc,libpthread
debian,Keepassxc,libkrb5support
debian,Keepassxc,libxcb-glx
debian,Keepassxc,libgcc_s
debian,Keepassxc,libpcre2-16
debian,Keepassxc,libnettle
debian,Keepassxc,libQt5Network
debian,Keepassxc,libgmp
debian,Keepassxc,libdouble-conversion
debian,Keepassxc,libc
debian,Keepassxc,libicui18n
debian,Keepassxc,libXdamage
debian,Keepassxc,libharfbuzz
debian,Keepassxc,libfreetype
debian,Keepassxc,liblber-2.4
debian,Keepassxc,libxcb-dri3
debian,Keepassxc,libpng16
debian,Keepassxc,libselinux
debian,Keepassxc,liblzma
fedora,Firefox,libc
fedora,Firefox,libdl
fedora,Firefox,libstdc++
fedora,Firefox,libpthread
fedora,Firefox,ld-linux-x86-64
fedora,Firefox,libm
fedora,Firefox,libgcc_s
fedora,Chromium,libxcb-render
fedora,Chromium,libdbus
fedora,Chromium,libkeyboard
fedora,Chromium,libresolv
fedora,Chromium,libXcursor
fedora,Chromium,libanimation
fedora,Chromium,libgmp
fedora,Chromium,libuser_prefs
fedora,Chromium,libservice_manager_mojom
fedora,Chromium,libnetwork_session_configurator
fedora,Chromium,libcloud_policy_proto_generated_compile
fedora,Chromium,libnetwork_service
fedora,Chromium,libblink_offscreen_canvas_mojo_bindings_shared
fedora,Chromium,libmojo_public_system_cpp
fedora,Chromium,libgl_wrapper
fedora,Chromium,libX11-xcb
fedora,Chromium,libtracing
fedora,Chromium,libgssapi_krb5
fedora,Chromium,libdatrie
fedora,Chromium,libxml2
fedora,Chromium,libgpu
fedora,Chromium,libdomain_reliability
fedora,Chromium,libui_devtools
fedora,Chromium,libdbus-1
fedora,Chromium,libmetrics_cpp
fedora,Chromium,libpcre
fedora,Chromium,libbz2
fedora,Chromium,libpthread
fedora,Chromium,libsmime3
fedora,Chromium,libXi
fedora,Chromium,libtracing_mojom_shared
fedora,Chromium,libpcre2-8
fedora,Chromium,libviz_common
fedora,Chromium,libplc4
fedora,Chromium,libbrowser_ui_views
fedora,Chromium,libnss3
fedora,Chromium,libbindings
fedora,Chromium,libcolor_space
fedora,Chromium,libgfx_ipc_buffer_types
fedora,Chromium,libkeycodes_x11
fedora,Chromium,libXext
fedora,Chromium,libcompositor
fedora,Chromium,libblkid
fedora,Chromium,libfido
fedora,Chromium,libp11-kit
fedora,Chromium,libmojom_platform_shared
fedora,Chromium,libpng16
fedora,Chromium,libppapi_proxy
fedora,Chromium,libXdamage
fedora,Chromium,libcairo-gobject
fedora,Chromium,libgcm
fedora,Chromium,libdiscardable_memory_client
fedora,Chromium,libui_touch_selection
fedora,Chromium,libXss
fedora,Chromium,libatk-bridge-2.0
fedora,Chromium,libmojo_public_system
fedora,Chromium,libc
fedora,Chromium,libkeyed_service_core
fedora,Chromium,libnetwork_cpp
fedora,Chromium,libproxy_config
fedora,Chromium,libnspr4
fedora,Chromium,libgl_init
fedora,Chromium,libthai
fedora,Chromium,libmojo_base_mojom_shared
fedora,Chromium,libui_message_center_cpp
fedora,Chromium,libxcb-shm
fedora,Chromium,libresource_coordinator_public_mojom_blink
fedora,Chromium,libservice_manager_cpp
fedora,Chromium,libplds4
fedora,Chromium,libgfx_ipc_geometry
fedora,Chromium,libui_base_ime
fedora,Chromium,libgles2_implementation
fedora,Chromium,libmedia_mojo_services
fedora,Chromium,libFLAC
fedora,Chromium,libxkbcommon
fedora,Chromium,libinterfaces_shared
fedora,Chromium,libstorage_common
fedora,Chromium,libpangocairo-1.0
fedora,Chromium,libpango-1.0
fedora,Chromium,libavahi-client
fedora,Chromium,libcc_paint
fedora,Chromium,libevents
fedora,Chromium,libnative_theme
fedora,Chromium,libmedia_devices_mojo_bindings_shared
fedora,Chromium,libgfx_x11
fedora,Chromium,libbase_i18n
fedora,Chromium,libcc_base
fedora,Chromium,libplatform
fedora,Chromium,libdisplay_types
fedora,Chromium,libsql
fedora,Chromium,libchromium_sqlite3
fedora,Chromium,libfingerprint
fedora,Chromium,libkrb5
fedora,Chromium,libmojo_edk
fedora,Chromium,libboringssl
fedora,Chromium,libXtst
fedora,Chromium,libgl_in_process_context
fedora,Chromium,libjpeg
fedora,Chromium,libui_base
fedora,Chromium,libdl
fedora,Chromium,libnet
fedora,Chromium,libshell_dialogs
fedora,Chromium,libapdu
fedora,Chromium,libdisplay_util
fedora,Chromium,libepoxy
fedora,Chromium,libviews
fedora,Chromium,libstub_window
fedora,Chromium,libblink_modules
fedora,Chromium,libtasn1
fedora,Chromium,libwebp
fedora,Chromium,liblzma
fedora,Chromium,libmidi
fedora,Chromium,libasound
fedora,Chromium,libmessage_center
fedora,Chromium,libweb_dialogs
fedora,Chromium,libcc
fedora,Chromium,liburl_ipc
fedora,Chromium,libcc_ipc
fedora,Chromium,libmedia_gpu
fedora,Chromium,libtracing_mojom
fedora,Chromium,libgnutls
fedora,Chromium,libppapi_shared
fedora,Chromium,libkeyed_service_content
fedora,Chromium,libdiscardable_memory_common
fedora,Chromium,libharfbuzz
fedora,Chromium,libcontent
fedora,Chromium,libnetwork_cpp_base
fedora,Chromium,libdevice_base
fedora,Chromium,libwebpmux
fedora,Chromium,libclient
fedora,Chromium,libnssutil3
fedora,Chromium,libfontconfig
fedora,Chromium,libx11_events_platform
fedora,Chromium,libselinux
fedora,Chromium,libz
fedora,Chromium,libdevice_vr_mojo_bindings_blink
fedora,Chromium,libfribidi
fedora,Chromium,libidn2
fedora,Chromium,libprinting
fedora,Chromium,libdevice_vr
fedora,Chromium,libgles2_utils
fedora,Chromium,libblink_controller
fedora,Chromium,libdevice_vr_mojo_bindings
fedora,Chromium,libservice_manager_mojom_shared
fedora,Chromium,libatk-1.0
fedora,Chromium,libresource_coordinator_cpp
fedora,Chromium,libogg
fedora,Chromium,libpublic
fedora,Chromium,libxcb
fedora,Chromium,libshared_memory_support
fedora,Chromium,libcap
fedora,Chromium,libblink_core_mojo_bindings_shared
fedora,Chromium,libaccessibility
fedora,Chromium,libcontent_common_mojo_bindings_shared
fedora,Chromium,libXcomposite
fedora,Chromium,libsystemd
fedora,Chromium,libstorage_browser
fedora,Chromium,libmedia
fedora,Chromium,libcups
fedora,Chromium,libXfixes
fedora,Chromium,libx11_window
fedora,Chromium,libblink_android_mojo_bindings_shared
fedora,Chromium,libavahi-common
fedora,Chromium,libgpg-error
fedora,Chromium,libxslt
fedora,Chromium,libsessions
fedora,Chromium,libwayland-client
fedora,Chromium,libm
fedora,Chromium,liburl
fedora,Chromium,libcodec
fedora,Chromium,libnet_with_v8
fedora,Chromium,libminizip
fedora,Chromium,libmojo_base_lib
fedora,Chromium,libmojo_ime_lib
fedora,Chromium,libdiscardable_memory_service
fedora,Chromium,libwayland-egl
fedora,Chromium,libicuuc
fedora,Chromium,libresource_coordinator_public_mojom
fedora,Chromium,libhost
fedora,Chromium,libgio-2.0
fedora,Chromium,libraster
fedora,Chromium,libunistring
fedora,Chromium,libbase
fedora,Chromium,libui_views_mus_lib
fedora,Chromium,libipc_mojom
fedora,Chromium,libsandbox_services
fedora,Chromium,libcc_debug
fedora,Chromium,libgtk3ui
fedora,Chromium,libglib-2.0
fedora,Chromium,libgcrypt
fedora,Chromium,libmojo_base_shared_typemap_traits
fedora,Chromium,libexpat
fedora,Chromium,libgdk_pixbuf-2.0
fedora,Chromium,libgfx_ipc_color
fedora,Chromium,libmojom_core_shared
fedora,Chromium,libcommon
fedora,Chromium,libstartup_tracing
fedora,Chromium,libsurface
fedora,Chromium,libgpu_util
fedora,Chromium,libstdc++
fedora,Chromium,libresource_coordinator_public_mojom_shared
fedora,Chromium,libmojo_base_mojom_blink
fedora,Chromium,libfreetype
fedora,Chromium,libcapture_lib
fedora,Chromium,libgfx_switches
fedora,Chromium,libk5crypto
fedora,Chromium,libmedia_blink
fedora,Chromium,libdevice_features
fedora,Chromium,libprefs
fedora,Chromium,libdisplay
fedora,Chromium,libgpu_ipc_service
fedora,Chromium,libgtk-3
fedora,Chromium,libonc
fedora,Chromium,libresource_coordinator_cpp_base
fedora,Chromium,libpangoft2-1.0
fedora,Chromium,libhogweed
fedora,Chromium,libui_data_pack
fedora,Chromium,libcapture_base
fedora,Chromium,libuuid
fedora,Chromium,libservice
fedora,Chromium,libcairo
fedora,Chromium,libevents_devices_x11
fedora,Chromium,libipc
fedora,Chromium,libipc_mojom_shared
fedora,Chromium,libblink_core
fedora,Chromium,libcbor
fedora,Chromium,ld-linux-x86-64
fedora,Chromium,libpolicy_component
fedora,Chromium,libblink_platform
fedora,Chromium,libXrandr
fedora,Chromium,libviz_resource_format
fedora,Chromium,libservice_manager_mojom_constants
fedora,Chromium,libleveldatabase
fedora,Chromium,libgcc_s
fedora,Chromium,libcc_blink
fedora,Chromium,libembedder
fedora,Chromium,libcaptive_portal
fedora,Chromium,libdevice_vr_mojo_bindings_shared
fedora,Chromium,libgfx
fedora,Chromium,libgfx_ipc_skia
fedora,Chromium,libcrypt
fedora,Chromium,libXinerama
fedora,Chromium,libwtf
fedora,Chromium,libservice_manager_mojom_constants_shared
fedora,Chromium,libcrcrypto
fedora,Chromium,libXrender
fedora,Chromium,libtracing_cpp
fedora,Chromium,libaura_extra
fedora,Chromium,librange
fedora,Chromium,librt
fedora,Chromium,libpixman-1
fedora,Chromium,libgmodule-2.0
fedora,Chromium,libXau
fedora,Chromium,libv8
fedora,Chromium,libcontent_public_common_mojo_bindings_shared
fedora,Chromium,libprotobuf_lite
fedora,Chromium,libevents_x
fedora,Chromium,libmount
fedora,Chromium,libwebpdemux
fedora,Chromium,libwm
fedora,Chromium,libbluetooth
fedora,Chromium,libseccomp_bpf
fedora,Chromium,libui_base_x
fedora,Chromium,libcom_err
fedora,Chromium,libdevice_gamepad
fedora,Chromium,libgin
fedora,Chromium,libgesture_detection
fedora,Chromium,libgdk-3
fedora,Chromium,libppapi_host
fedora,Chromium,libcdm_manager
fedora,Chromium,libmojo_base_mojom
fedora,Chromium,libffi
fedora,Chromium,liblz4
fedora,Chromium,libwebview
fedora,Chromium,libffmpeg
fedora,Chromium,libX11
fedora,Chromium,libmojo_mojom_bindings
fedora,Chromium,libsuid_sandbox_client
fedora,Chromium,libsandbox
fedora,Chromium,libsnapshot
fedora,Chromium,libnettle
fedora,Chromium,libkeyutils
fedora,Chromium,libdevices
fedora,Chromium,libcc_animation
fedora,Chromium,libheadless
fedora,Chromium,libatspi
fedora,Chromium,libgeolocation
fedora,Chromium,libskia
fedora,Chromium,libblink_mojo_bindings_shared
fedora,Chromium,libembedder_switches
fedora,Chromium,libblink_common
fedora,Chromium,libevents_base
fedora,Chromium,libgfx_ipc
fedora,Chromium,libv8_libbase
fedora,Chromium,libwayland-cursor
fedora,Chromium,libwm_public
fedora,Chromium,libicui18n
fedora,Chromium,libcrash_key
fedora,Chromium,libmojo_mojom_bindings_shared
fedora,Chromium,libpolicy_proto
fedora,Chromium,libgobject-2.0
fedora,Chromium,libmojo_edk_ports
fedora,Chromium,libservice_manager_cpp_types
fedora,Chromium,libmessage_support
fedora,Chromium,libgeometry_skia
fedora,Chromium,libaura
fedora,Chromium,libgeometry
fedora,Chromium,libgles2
fedora,Chromium,libkrb5support
fedora,Chromium,liburl_matcher
fedora,Chromium,libwebdata_common
fedora,Chromium,libgraphite2
fedora,Chromium,libbindings_base
fedora,Chromium,libdevice_event_log
fedora,Audacity,libxcb-render
fedora,Audacity,libresolv
fedora,Audacity,libXcursor
fedora,Audacity,libXxf86vm
fedora,Audacity,libtiff
fedora,Audacity,libid3tag
fedora,Audacity,libdatrie
fedora,Audacity,libpcre
fedora,Audacity,libbz2
fedora,Audacity,libpthread
fedora,Audacity,libwx_baseu_xml-3.0
fedora,Audacity,libXi
fedora,Audacity,libwx_gtk2u_core-3.0
fedora,Audacity,libpcre2-8
fedora,Audacity,libsndfile
fedora,Audacity,libblkid
fedora,Audacity,libmspack
fedora,Audacity,libpng16
fedora,Audacity,libXdamage
fedora,Audacity,libc
fedora,Audacity,libwx_gtk2u_adv-3.0
fedora,Audacity,libthai
fedora,Audacity,libSM
fedora,Audacity,libwx_gtk2u_qa-3.0
fedora,Audacity,libFLAC
fedora,Audacity,libportaudio
fedora,Audacity,libpangocairo-1.0
fedora,Audacity,libpango-1.0
fedora,Audacity,libjack
fedora,Audacity,libjpeg
fedora,Audacity,libdl
fedora,Audacity,libSoundTouch
fedora,Audacity,libasound
fedora,Audacity,libvorbis
fedora,Audacity,libharfbuzz
fedora,Audacity,libfontconfig
fedora,Audacity,libgtk-x11-2.0
fedora,Audacity,libselinux
fedora,Audacity,libFLAC++
fedora,Audacity,libz
fedora,Audacity,libfribidi
fedora,Audacity,libatk-1.0
fedora,Audacity,libogg
fedora,Audacity,libxcb
fedora,Audacity,libXcomposite
fedora,Audacity,libsoxr
fedora,Audacity,libXfixes
fedora,Audacity,libmad
fedora,Audacity,libm
fedora,Audacity,libICE
fedora,Audacity,libgio-2.0
fedora,Audacity,libglib-2.0
fedora,Audacity,libexpat
fedora,Audacity,libvorbisfile
fedora,Audacity,libgdk_pixbuf-2.0
fedora,Audacity,libgomp
fedora,Audacity,libstdc++
fedora,Audacity,libjbig
fedora,Audacity,libwx_baseu_net-3.0
fedora,Audacity,libvamp-hostsdk
fedora,Audacity,libfreetype
fedora,Audacity,libpangoft2-1.0
fedora,Audacity,libuuid
fedora,Audacity,libcairo
fedora,Audacity,libopus
fedora,Audacity,ld-linux-x86-64
fedora,Audacity,libXrandr
fedora,Audacity,libSDL2-2.0
fedora,Audacity,libgcc_s
fedora,Audacity,libwx_gtk2u_html-3.0
fedora,Audacity,libXinerama
fedora,Audacity,libXrender
fedora,Audacity,libvorbisenc
fedora,Audacity,libgdk-x11-2.0
fedora,Audacity,libgsm
fedora,Audacity,librt
fedora,Audacity,libpixman-1
fedora,Audacity,libgmodule-2.0
fedora,Audacity,libXau
fedora,Audacity,libmount
fedora,Audacity,libffi
fedora,Audacity,libX11
fedora,Audacity,libwx_gtk2u_xrc-3.0
fedora,Audacity,libgobject-2.0
fedora,Audacity,libxcb-shm
fedora,Audacity,libwx_baseu-3.0
fedora,Audacity,libgraphite2
fedora,Audacity,libXext
fedora,Keepassxc,libcap
fedora,Keepassxc,libsystemd
fedora,Keepassxc,libGLdispatch
fedora,Keepassxc,libQt5Widgets
fedora,Keepassxc,libgpg-error
fedora,Keepassxc,libicudata
fedora,Keepassxc,libpcre2-16
fedora,Keepassxc,libm
fedora,Keepassxc,librt
fedora,Keepassxc,libgthread-2.0
fedora,Keepassxc,libQt5Network
fedora,Keepassxc,libXau
fedora,Keepassxc,libpcre
fedora,Keepassxc,libdbus-1
fedora,Keepassxc,libdl
fedora,Keepassxc,libicuuc
fedora,Keepassxc,libbz2
fedora,Keepassxc,libpthread
fedora,Keepassxc,libyubikey
fedora,Keepassxc,libsodium
fedora,Keepassxc,libmount
fedora,Keepassxc,libpcre2-8
fedora,Keepassxc,libglib-2.0
fedora,Keepassxc,libgcrypt
fedora,Keepassxc,libusb-1.0
fedora,Keepassxc,liblzma
fedora,Keepassxc,libQt5DBus
fedora,Keepassxc,liblz4
fedora,Keepassxc,libX11
fedora,Keepassxc,libblkid
fedora,Keepassxc,libharfbuzz
fedora,Keepassxc,libstdc++
fedora,Keepassxc,libfreetype
fedora,Keepassxc,libGLX
fedora,Keepassxc,libpng16
fedora,Keepassxc,libselinux
fedora,Keepassxc,libz
fedora,Keepassxc,libssl
fedora,Keepassxc,libicui18n
fedora,Keepassxc,libQt5Gui
fedora,Keepassxc,libc
fedora,Keepassxc,libuuid
fedora,Keepassxc,libudev
fedora,Keepassxc,libGL
fedora,Keepassxc,libargon2
fedora,Keepassxc,libcrypto
fedora,Keepassxc,ld-linux-x86-64
fedora,Keepassxc,libykpers-1
fedora,Keepassxc,libxcb
fedora,Keepassxc,libgraphite2
fedora,Keepassxc,libXext
fedora,Keepassxc,libgcc_s
fedora,Keepassxc,libQt5Core
fedora,Libreoffice,libxcb-render
fedora,Libreoffice,libboost_locale
fedora,Libreoffice,libresolv
fedora,Libreoffice,libuno_cppuhelpergcc3
fedora,Libreoffice,libgmp
fedora,Libreoffice,liborcus-parser-0.13
fedora,Libreoffice,libgssapi_krb5
fedora,Libreoffice,libxml2
fedora,Libreoffice,libboost_chrono
fedora,Libreoffice,libpcre
fedora,Libreoffice,libdbus-1
fedora,Libreoffice,libbz2
fedora,Libreoffice,libpthread
fedora,Libreoffice,libsmime3
fedora,Libreoffice,libgpgme
fedora,Libreoffice,libpcre2-8
fedora,Libreoffice,libcurl
fedora,Libreoffice,libplc4
fedora,Libreoffice,libnss3
fedora,Libreoffice,libtklo
fedora,Libreoffice,libblkid
fedora,Libreoffice,liborcus-0.13
fedora,Libreoffice,libpng16
fedora,Libreoffice,libssl
fedora,Libreoffice,libc
fedora,Libreoffice,libsotlo
fedora,Libreoffice,libnspr4
fedora,Libreoffice,libpsl
fedora,Libreoffice,libi18nlangtag
fedora,Libreoffice,libplds4
fedora,Libreoffice,libcppcanvaslo
fedora,Libreoffice,libopencllo
fedora,Libreoffice,libavmedialo
fedora,Libreoffice,libboost_thread
fedora,Libreoffice,libsaxlo
fedora,Libreoffice,libavahi-client
fedora,Libreoffice,libjvmfwklo
fedora,Libreoffice,libcanvastoolslo
fedora,Libreoffice,libsvllo
fedora,Libreoffice,liblnglo
fedora,Libreoffice,libkrb5
fedora,Libreoffice,libboost_iostreams
fedora,Libreoffice,libutllo
fedora,Libreoffice,libdl
fedora,Libreoffice,libjpeg
fedora,Libreoffice,libepoxy
fedora,Libreoffice,liblcms2
fedora,Libreoffice,libtasn1
fedora,Libreoffice,liblzma
fedora,Libreoffice,libuno_sal
fedora,Libreoffice,libxolo
fedora,Libreoffice,libp11-kit
fedora,Libreoffice,liblangtag
fedora,Libreoffice,libgnutls
fedora,Libreoffice,libharfbuzz
fedora,Libreoffice,libnssutil3
fedora,Libreoffice,libfontconfig
fedora,Libreoffice,libselinux
fedora,Libreoffice,libz
fedora,Libreoffice,libidn2
fedora,Libreoffice,libunoidllo
fedora,Libreoffice,libtllo
fedora,Libreoffice,liblber-2.4
fedora,Libreoffice,libclewlo
fedora,Libreoffice,libfwelo
fedora,Libreoffice,libxcb
fedora,Libreoffice,libboost_filesystem
fedora,Libreoffice,libcap
fedora,Libreoffice,libsfxlo
fedora,Libreoffice,libsystemd
fedora,Libreoffice,libcups
fedora,Libreoffice,libavahi-common
fedora,Libreoffice,libxmlscriptlo
fedora,Libreoffice,libgpg-error
fedora,Libreoffice,libicudata
fedora,Libreoffice,libm
fedora,Libreoffice,libdeploymentmisclo
fedora,Libreoffice,libuno_cppu
fedora,Libreoffice,libuno_salhelpergcc3
fedora,Libreoffice,libicuuc
fedora,Libreoffice,libdrawinglayerlo
fedora,Libreoffice,libgio-2.0
fedora,Libreoffice,libunistring
fedora,Libreoffice,libssh
fedora,Libreoffice,libglib-2.0
fedora,Libreoffice,libgcrypt
fedora,Libreoffice,libjvmaccesslo
fedora,Libreoffice,libexpat
fedora,Libreoffice,libeot
fedora,Libreoffice,libsvtlo
fedora,Libreoffice,libstdc++
fedora,Libreoffice,libfreetype
fedora,Libreoffice,libk5crypto
fedora,Libreoffice,libsasl2
fedora,Libreoffice,libboost_system
fedora,Libreoffice,libhogweed
